title,description,url,image_url,published_date,source,author,content,category,data_source
Missing man was found dead at Dorset beauty spot,"<div><img src=""https://www.bournemouthecho.co.uk/resources/images/18797703/"" style=""width: 100%;"" /><div>A man was found dead at a Dorset beauty spot after going missing, an inquest heard.</div></div>",https://www.bournemouthecho.co.uk/news/24743808.missing-man-found-near-old-harry-rocks-dorset/,,2024-11-23 00:00:00,Jess Skelton,,"James Michael Whitney, 48, was located near Old Harry’s Rocks on September 13. Dorset Coroner’s Court heard in a statement from Allison Whitney, James’ wife that her husband loved to socialise with his friends and loved DIY projects. She also said she always called him Jim. On the morning of September 12, Mrs Whitney recalled making breakfast for her husband and watching him leave for work at 8.10am. She said that was the last time she saw her husband. In the statement provided by Mrs Whitney she said the week leading up to James going missing was “uneventful” and seemed “pretty normal”. She said this was “unusual behaviour” and “completely out of character” for him. Dorset Coroner’s Court also heard in a statement from James’ business partner and friend, Darren Henderson, that they had been friends for 18/19 years. James worked as an architect and started a business with Mr Henderson in 2008. It was reported James was last seen at his workplace in Christchurch at around 1pm on September 12. Upon James leaving work, Mr Henderson contacted Mrs Whitney, stating he was concerned for James’ welfare. After Mrs Whitley’s attempts to contact her husband, she contacted Dorset Police at 4.31pm. James was expected to be playing football at 6pm with others; however, he did not show up. After the location of Swanage was accessed from his phone, Mrs Whitney began to drive around and search for her husband. James' vehicle was found in a layby in Ulwell Road in Swanage at 8.34pm on September 12. The car’s engine was cold, and James’ belongings were still inside, including his phone. As reported previously by the Daily Echo, the HM Coastguard, an NPAS helicopter and Dorset Search and Rescue were all involved in the search. After searching through the night and the morning of September 13, the body of James Whitney was found near Old Harry Rocks shortly after midday. A post-mortem examination conducted by Dr Stolte found James’ cause of death to be ‘multiple injuries’ sustained from a fall from a cliff. Assistant coroner for Dorset, Richard Middleton, concluded James died from suicide. When life is difficult, Samaritans are here – day or night, 365 days a year. You can call them for free on 116 123, email them at jo@samaritans.org, or visit samaritans.org to find your nearest branch.",,rss
2025 BMW F 900 R and F 900 XR Preview  ,"<div><img src=""https://ridermagazine.com/wp-content/uploads/2024/11/2025-BMW-F-900-R-Preview-4.jpg"" style=""width: 100%;"" /><div>The BMW F 900 R roadster and F 900 XR sport-tourer are updated for 2025 with changes to ergonomics, suspension, rider aids, and equipment.</div></div>",https://ridermagazine.com/2024/11/22/2025-bmw-f-900-r-and-f-900-xr-preview/,,2024-11-22 23:07:07,The Staff,,"2025 BMW F 900 R in Style Sport Updates for 2025 have been announced for the BMW F 900 R roadster and BMW F 900 XR sport-tourer. Changes include ergonomics, suspension, wheels, battery, and rider aids, and some previously optional equipment is now included as standard. 2025 BMW F 900 XR Racing Red Powering both models is the returning 895cc parallel-Twin, which produces a claimed 105 hp and 686 lb-ft of torque. Both bikes come with standard Rain and Road riding modes, and the optional Dynamic riding mode has been revised for 2025 for a more direct throttle response. Both bikes will now feature standard Dynamic Traction Control, which can be switched off. Both bikes also receive a new battery, which is 1.7 lb lighter than before. Related: BMW F 900 R and F 900 XR Review In addition to DTC, the BMW F 900 R and XR will also now come with MSR Engine Drag Torque Control and cornering BMW Motorrad ABS Pro. Dynamic Brake Control, which prevents unintentional acceleration while braking, is also standard for 2025. The XR’s handguards are fitted as standard equipment. Suspension is upgraded on both bikes with a now fully adjustable 43mm inverted telescopic fork. On the R, the new fork provides 5.3 inches of travel, while on the XR travel is 6.7 inches. Adopted from the S 1000 R model, which has already received updates for 2025, are new 17-inch cast-aluminum wheels, which weigh 3.9 lb less than the previous wheels. Both bikes receive new 17-inch cast-aluminum wheels and a new fully adjustable 43mm inverted telescopic fork. The F 900 R roadster gets new ergonomics for 2025. The handlebar is farther forward and the footpegs are farther back, creating a sportier, forward-leaning riding position. The F 900 R’s handlebar is positioned farther forward than before. The BMW F 900 XR sport-tourer gets new features as well. It now includes Headlight Pro with an adaptive headlight, as well as a USB-C charging port and heated grips as standard. The windscreen has been redesigned to reduce wind pressure and helmet buffeting. The XR gets an updated windscreen for 2025. The 2025 BMW F 900 R will be available in Snapper Rocks Blue Metallic as standard. The 2025 BMW F 900 XR will be available in Racing Red as standard. Both bikes will also be available in optional Style Triple Black or Style Sport. 2025 BMW F 900 R in Snapper Rocks Blue Metallic Pricing has not yet been announced. Visit the BMW Motorrad website for more information. Check out more new bikes in Rider’s 2025 Motorcycle Buyers Guide",,rss
Chinese electric vehicles are a rolling security threat,Senate estimates earlier this month heard the remarkable revelation that Home Affairs Minister Tony Burke has had to take “precautions” based on warnings from his own department to protect himself and the nation’s sensitive information from Burke’s own Chinese-made electric car.,https://www.theaustralian.com.au/commentary/chinese-electric-vehicles-are-a-rolling-security-threat/news-story/093810973aad85863b22cc9100f1665f,,2024-11-22 22:49:00,The Australian,,{},ScienceAndTechnology,bing
Ferrari has hydrogen and Lamborghini is full electric…but this car has shocked the world,"It’s been a well-kept secret, but it seems the cat is out of the bag as Jaguar shocks the world with a full electric car.",https://www.riazor.org/news/hydrogen-lamborghini-full-electric-jaguar/2010/,,2024-11-22 22:03:00,riazor,,"It’s been a well-kept secret, but it seems the cat is out of the bag as Jaguar shocks the world with a fully electric car. The imposing camouflaged sedan looks to rival the likes of Lamborghini and Maserati, among others. The United Kingdom-based carmaker has released the images. Jaguar shocks the world with fully electric car The Jaguar full electric car edition is yet to be identified as far as its model but some reviewers say it will be called I-type. The full EV car plans to shake the market as it looks to rival top-of-the-range cars such as Maserati and Porsche, Bentley and Lamborghini. As imposing and massive as it is, the car is somewhere between a four-door coupe and a shooting brake, there’s no doubt this entirely camouflaged prototype is our first look at Jaguar’s future. Published by the company, the first images of the prototype car were seen undergoing test sessions in England. According to motor1.com, this will be the first in what Jaguar calls its “new species” of high-end vehicles. It will be shown on December 2 in Art Week Miami alongside three additional concept cars as part of the brand’s hard “reset.” Jaguar to transform competition in the EV space The car publication reports that the sedan carmaker is looking to transform from a “premium” brand competing with the likes of Audi and BMW, into a high-end automaker alongside alternatives like Maserati and Porsche. The technology and performance will improve, and the price, as expected, will go up. Initial costs will be somewhere in the $130,000 to $140,000 mark. Arguably even more important, though, will be the brand’s design revolution. The car boasts a substantial presence on the road. “In terms of proportions, it is very far from what we do today. To get there, I divided the design team into three groups. Within three months they produced 17 full-size models with different design languages, some were familiar, others looked like something out of science fiction movies,” reports motor1. “The design language we chose is exuberant. Just think of something that will be different on the road. And in December we will unveil our new design language. “The photos suggest the final product of the car will have a very long nose and an incredibly high beltline. And even though it has a “grille,” this car will be 100% electric—so it’s mostly for show.” Will the new Jaguar be called an I-type? Caranddriver reports that a recent U.S. trademark application indicates that they could be I-type—this makes sense given that Jaguar’s first EV effort was branded I-Place. While that Jaguar SUV model’s production abruptly ended in 2024, and while it made a splash when it debuted, its 240-mile driving range meant it lagged behind newer rivals in recent years. What will the Jaguar I-type offer? Based on speculation from car review gurus and publications, the imposing car will come with unique features. “Whether or not it gets the name I-type, the new model should offer at least 300 miles of driving per charge, and we suspect it will come with two motors and offer all-wheel drive,” writes Drew Dorian. “Jaguar hasn’t commented on the powertrain specs, but we know the car will ride on a new electrical architecture. “Pricing is also unknown, but given Jaguar’s ambitions to move upmarket, we think the I-type will likely require a six-figure outlay.” Even though it’s still camouflaged, Jaguar’s first high-end EV already looks promising. The big question is: Will it compete against the industry’s big guns, only time will tell once the car hits the market.",Uncategorized,bing
Das erste Urteil zum Tesla Cybercab,"<div><img src=""https://images.bild.de/6740654c81ba513c8f16d3c8/4baaaf226a9a3fd5343039c2e77bc005,24c79cac?w=1280"" style=""width: 100%;"" /><div>BILD fällt das erste Urteil zum Tesla Cybercab, das ab 2027 für unter 30.000 US-Dollar erhältlich sein soll und den Straßenverkehr revolutionieren könnte.</div></div>",https://www.bild.de/leben-wissen/auto/das-erste-urteil-zum-tesla-cybercab-6740654c81ba513c8f16d3c8,,2024-11-22 21:45:39,Michael Niehus,,"Am 10. Oktober stellte Elon Musk das Tesla Cybercab erstmals der Öffentlichkeit vor. In Los Angeles präsentierte er das selbstfahrende Roboter-Taxi, das schon bald normaler Bestandteil im Straßenverkehr sein soll. BILD hat jetzt einen Prototypen des vollelektrischen Cybercab in Deutschland begutachten können. Eine spektakuläre Erscheinung. Wie das Taxi der Zukunft wirkt, wann es nach Deutschland kommen könnte und welche Hürden noch zu nehmen sind, lesen Sie mit BILDplus.",,rss
"2 cars charred, nearly 1,300 without electricity after power line snaps, sparks fire","More than 1,000 residents in a Coral Gables neighborhood are without power after a power line snapped and fell on<a class=""excerpt-read-more"" href="" More",https://wsvn.com/news/local/miami-dade/2-cars-charred-nearly-1300-without-electricity-after-power-line-snaps-sparks-fire/,,2024-11-22 21:41:00,7News Miami,,"CORAL GABLES, FLA. (WSVN) - More than 1,000 residents in a Coral Gables neighborhood are without power after a power line snapped and fell on top of two cars, sparking a fire. Officials said the cars caught on fire near Ferdinand Street off Southwest 57th Avenue when a live wire snapped and fell on top of them, at around 6 a.m. on Friday. Neighbors were stunned by what they saw. “They knocking our door at 5 o’clock in the morning, and everybody have to come out,” said Maria Mora. “Then I heard all the sparking and snapping of the power lines,” said Maxine Longer. “My one of my sons said, ‘Dad, I think the car is on fire’, you know, just over there,” said Brian Ahmes, “and I looked out his window, flames were everywhere.” Coral Gables Fire Rescue and crews from Florida Power & Light arrived at the scene, ultimately making a split-second decision to shut down the power grid to prevent the fire from spreading further. “Our crews made a quick decision to shut down the FPL power grid in order to save the house, because at that time, the fire was extending into the house,” said Coral Gables Fire Rescue Lt. Ishmael Roig. The grid was shut down for several hours while crews worked to contain the fire. “Electricity conducts water, so that would be of harm to our firefighters and the occupants inside the home. It would put a lot of us in danger,” said Roig. Inside the home, homeowner Laude McDonald and her husband were sleeping, but no one was hurt, and only a portion of the garage was damaged by the flames. McDonald, who did not want to show her face on camera, recounted the terrifying moments for 7News. “But it’s kind of scary, because the last time, it happened in the middle of the night, too, and you’re sleeping,” she said. “I mean, my husband got up to get an aspirin. That’s how he was able to see what was going on.” McDonald said they’ve had issues with the power lines in this neighborhood before. “They’ve spent months working on that. You would’ve thought that after what happened that they would’ve secured those wires correctly,” said McDonald. Although grateful for their lives, the owners were left devastated about their cars, because they are limited editions. “It’s terrible what happened to them. Now they have no transportation. Damage to their house, and just being totally terrorized,” said Longer. Aerial footage from 7Skyforce showed the severely damaged cars covered in foam with smoke rising from the hotspots. The charred cars were a Honda and a Limited Edition Infiniti that only had about 2,000 miles on them. “My pride and joy, it had 2,000 miles on them,” said McDonald. McDonald and her neighbors are grateful for the firefighters’ swift actions and that no other structures were damaged. “I’m very grateful. It’s very scary,” said McDonald. Although crews were able to contain the fire, the department said it’s not a common occurrence for a power line to snap, and FPL will be investigating further. “This is not a common occurrence. This is not something that happens here every single day. We’re just glad that it didn’t fall on top of somebody and nobody was hurt,” said Roig. According to FPL, they have restored the power for all customers that were impacted. What caused the power line to snap remains under investigation. Copyright 2024 Sunbeam Television Corp. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",Uncategorized,bing
"Hyundai, Kia recall over 208,000 electric vehicles — 34,529 in Canada — to fix problem that can cause loss of power","NP TALKS: Tasha Kheiriddin and Peter MacKay will discuss how recent government changes have impacted Canada's global image on Nov 29. 'There are no confirmed crashes or injuries related to this condition in Canada or the U.S.,' says public relations analyst at Hyundai Auto Canada Access articles from across Canada with one account.",https://nationalpost.com/news/canada/hyundai-kia-recall-electric-vehicles-power-loss,,2024-11-22 21:11:00,National Post,,{},Uncategorized,bing
Teslas Cybercab: Auto soll Taxifahrer überflüssig machen,"<div><img src=""https://image.bz-berlin.de/data/uploads/2024/11/img_1212_16i9.jpg"" style=""width: 100%;"" /><div>Einen Fahrer wird man in diesem Taxi vergeblich suchen, denn es fährt von ganz allein. Tesla stellt sein neues Cybercab in der Mall of Berlin vor.</div></div>",https://www.bz-berlin.de/berlin/mitte/cybercab-tesla-taxifahrer-ueberfluessig,,2024-11-22 21:08:20,Danilo Gladow,,"Von Danilo Gladow Harte Zeiten für Berlins Taxifahrer: Billigfahrdienste wie Uber, Bolt und Co. machen ihnen das Leben schwer. Aber ein Auto könnte ihnen allen den Rang abfahren. Das vollautonome Cybercab, Teslas Antwort auf das Taxi der Zukunft. B.Z. hat es sich angeschaut. Einen Fahrer wird man in diesem Taxi vergeblich suchen, denn es fährt von ganz allein. Elektroautobauer Tesla stellt aktuell sein neues Cyber-Taxi im Showroom in der Mall of Berlin vor. Zwei Ledersitze und ein großes Display – mehr gibt es im Cybercab im Cockpit nicht. Da staunt auch B.Z.-Reporter Danilo Gladow Foto: Olaf Selchow Der futuristisch in Gold designte Prototyp hat klobig wirkende Räder und gleich mehrere Besonderheiten: Es gibt kein Lenkrad, kein Gas- oder Bremspedal und keine Spiegel. Dennoch soll das Auto sicher durch die Straßen rollen. Wer mitfährt, braucht zumindest in der Anfangszeit noch starke Nerven, denn notfalls eingreifen und selbst das Steuer übernehmen, geht nicht. Im Innern befinden sich lediglich zwei Ledersitze und ein riesiger Bildschirm. Heißt: sich herumkutschieren lassen und dabei die eigene Lieblingsserie schauen. Klingt verlockend. In San Francisco fahren schon Cybercabs Neu ist die Idee allerdings nicht. Im amerikanischen San Francisco etwa gibt es schon eine Flotte von 250 Robotaxis, die bequem per App bestellt werden können. Bis das autonome Cybercab auf deutschen Straßen unterwegs ist, könnte es laut dem ADAC allerdings noch Jahre dauern. Zwar hatten Bundestag und Bundesrat dem Automobilclub zufolge im Mai 2021 einem Gesetz zugestimmt, nach dem vollständig autonome Fahrzeuge in Deutschland grundsätzlich am öffentlichen Straßenverkehr teilnehmen können. Aber: „An den konkreten Ausführungsbestimmungen wurde und wird weiter gearbeitet.“ Schon vor der Vorstellung des Tesla Cybercabs in der Mall of Berlin um 10 Uhr standen die ersten Technikverrückten an Foto: Olaf Selchow Der ADAC sieht in autonom fahrenden Autos auch Chancen: „Vollautomatisierte Taxis oder Busse fahren eines Tages vielleicht so günstig, dass sich auch der ländliche Raum erschließen lässt.“ Und: Mit dem Grad der Automatisierung werden sich die Unfallzahlen weiter reduzieren. Denn für immerhin 90 Prozent aller Crashs ist menschliches Versagen die Ursache.",,rss
"Cupra will bring gas, hybrid, and electric cars to US","Cupra now expects to offer gas, plug-in hybrid, and electric vehicles in the U.S. A local Cupra USA division has been established to oversee the U.S. market, headed by Bernhard Bauer, Cupra's former head of the German market.",https://www.motorauthority.com/news/1145114_cupra-will-bring-gas-hybrid-and-electric-cars-to-us,,2024-11-22 19:30:00,Motor Authority,,"Volkswagen Group's Cupra brand has given an update on its plans to launch in the U.S. The Spanish performance marque still targets a U.S. arrival by the end of the decade, but a previous plan to only sell electric vehicles, starting with a pair of crossovers, has been abandoned. Cupra now expects to offer gas, plug-in hybrid, and electric vehicles in the U.S. A local Cupra USA division has been established to oversee the U.S. market, headed by Bernhard Bauer, Cupra's former head of the German market. Sign up for Newsletter 2025 Cupra Terramar Cupra may team up with Penske Automotive Group to establish a sales channel. Cupra said it is in talks with the dealer group about a possible partnership. In a statement, Cupra CEO Wayne Griffiths said a strong distribution and retail strategy is essential for success in the U.S., and that Penske Automotive Group’s presence in the market and past experience with other Volkswagen Group brands, makes it a promising potential partner. Cupra primarily operates in Europe but has already expanded to some international markets, including Mexico and other Latin American countries. For the U.S., Cupra has previously said it will initially operate in select states on the East and West Coasts, and along the Sun Belt. Cupra started out life as a performance sub-brand of VW Group's Spanish brand SEAT, but in 2018 was repostioned as a standalone brand offering a range of sporty, emotional vehicles with striking design and platforms mostly shared with models from Volkswagen. Since then it's sold about 750,000 vehicles globally, including 230,739 vehicles last year alone, its best year on record.",Business,bing
Hamburg: Hamburg will Zahl der Ladepunkte für E-Fahrzeuge deutlich erhöhen,"<div><img src=""https://images.tagesschau.de/image/469820aa-e18f-448e-b1fb-24487db6d1f8/AAABk1S1mP4/AAABkZLhkrw/16x9-1280/ndr-eine-ladesaeule-fuer-elektroautos-steht-im-vordergrund-des-hamburger-rathauses-100.jpg"" style=""width: 100%;"" /><div>Der Hamburger Senat will die Ladeinfrastruktur für Elektroautos ausbauen. Bis 2030 soll es 10.000 Ladepunkte im öffentlichen Raum geben.</div></div>","https://www.ndr.de/nachrichten/hamburg/Hamburg-will-Zahl-der-Ladepunkte-fuer-E-Fahrzeuge-deutlich-erhoehen,elektromobilitaet166.html",,2024-11-22 18:56:04,tagesschau.de,,"Hamburg will Zahl der Ladepunkte für E-Fahrzeuge deutlich erhöhen Stand: 22.11.2024 19:55 Uhr Die Stadt Hamburg will beim Ausbau der Ladepunkte für Elektroautos Tempo machen. Bis 2030 soll es 10.000 dieser Anlagen geben. Derzeit gibt es rund 1.700 städtische Ladepunkte am Straßenrand oder auf öffentlichen Parkplätzen. Hinzu kommen etwa 100 private Ladepunkte im öffentlichen Raum. Private Anbieter beteiligen sich an Ausbau Die meisten öffentlichen Ladepunkte in Hamburg werden bislang von den Hamburger Energiewerken betrieben - also von einem städtischen Unternehmen. In Zukunft sind auch mehrere private Anbieter dabei. Neben den Hamburger Energiewerken beteiligen sich nun am Ladenetzausbau die Unternehmen Enercity Mobility, Eze.network, Qwello Deutschland, Ubitricity sowie Vattenfall. Diese Unternehmen haben am Freitag im Rathaus einen Konzessionsvertrag unterschrieben. Damit haben sie das Recht, in den kommenden Jahren jeweils 500 Ladepunkte für Elektroautos im Stadtgebiet zu errichten. Und gleichzeitig die Pflicht, sich dabei an einen fest vorgegebenen Zeitplan zu halten. AUDIO: Hamburg will Tempo machen bei Ausbau von Ladepunkten für E-Autos (1 Min) Hamburg will Tempo machen bei Ausbau von Ladepunkten für E-Autos (1 Min) Rosinenpickerei soll es dabei nicht geben: Jedes Unternehmen hat sich verpflichtet, auch in Randgebieten der Stadt Ladepunkte zu betreiben. Die genauen Orte hat nach Angaben der Wirtschaftsbehörde ein Algorithmus ermittelt, damit die Infrastruktur dort aufgebaut wird, wo sie tatsächlich gebraucht wird. Es ist das erste Mal, das Hamburg Konzessionsverträge für Ladepunkte abschließt - weitere Verträge sollen folgen. Behörde: Hamburg bei der E-Mobilität vorn Hamburg hat nach Angaben der Wirtschaftsbehörde die bundesweit höchste Quote an elektrisch betriebenen Fahrzeugen. Mehr als sieben Prozent des Fahrzeugbestands werden demnach vollelektrisch betrieben oder sind Plug-in-Hybride. Die Standorte der vorhandenen und geplanten Ladepunkte sind im Geoportal Hamburg online abrufbar. Dieses Thema im Programm: NDR 90,3 | NDR 90,3 Aktuell | 22.11.2024 | 17:00 Uhr",,rss
Hamburg will Ladenetz für E-Autos massiv ausbauen,"<div><div style=""left: 0; width: 100%; height: 0; position: relative; padding-bottom: 56.25%;""><iframe src=""https://www.ndr.de/fernsehen/sendungen/hamburg_journal/hamj153496-ardplayer.html"" style=""border: 0; top: 0; left: 0; width: 100%; height: 100%; position: absolute;"" allowfullscreen scrolling=""no"" allow=""encrypted-media""></iframe></div></div>","https://www.ndr.de/fernsehen/sendungen/hamburg_journal/Hamburg-will-Ladenetz-fuer-E-Autos-massiv-ausbauen,hamj153496.html",,2024-11-22 18:54:37,NDR,,Hamburg will Ladenetz für E-Autos massiv ausbauen Sendung: Hamburg Journal | 22.11.2024 | 19:30 Uhr 2 Min | Verfügbar bis 22.11.2026 Nur wenige Autos fahren in Hamburg ausschließlich mit Strom. Ein Grund: fehlende Lademöglichkeiten.,,rss
Discrepancies in issuance of permits to expatriate workers to import electric vehicles,"There have been abuses in the issuance of permits for expatriate workers to import electric vehicles, according to an audit report. ..",https://www.dailymirror.lk/front-page/Discrepancies-in-issuance-of-permits-to-expatriate-workers-to-import-electric-vehicles/238-296598,,2024-11-22 18:30:00,The Daily Mirror,,"File Photo By Sujith Hewajulige There have been abuses in the issuance of permits for expatriate workers to import electric vehicles, according to an audit report. According to Auditor General W.P.C. Wickramaratne, discrepancies had been reported as far as over 1,000 such permits denying benefits to eligible people. The process was introduced during the time of the last government. The Auditor General’s report had been handed over to the parliamentary authorities recently. It will be presented to the House next week.",Uncategorized,bing
Der Elon Musk der EU,"<div><img src=""https://media1.faz.net/ppmedia/aktuell/2889639476/1.8421695/twitter_teaser_fplus/auf-einen-espresso.jpg"" style=""width: 100%;"" /><div>Der Unternehmer plant eine Radikalkur für Amerikas Bürokratie. Wer erledigt das eigentlich bei uns?</div></div>",https://www.faz.net/aktuell/wirtschaft/der-elon-musk-der-eu-110128461.html,,2024-11-22 18:11:46,Johannes Pennekamp,,"Elon Musk ist nicht zu fassen. Der Mann schafft es, den Glaube an die Menschheit zu beflügeln und zugleich zu zertrümmern: Er lässt Raketen rückwärts landen, er baut Elektroautos, die bald ohne Mensch am Steuer unterwegs sein werden, und er lässt das Internet aus dem All herabregnen. Das ist das eine. Zugleich baut er das Netzwerk X zu einer Art Pro­pagandaplattform um, er schwingt sich auf zu Donald Trumps erstem Einflüsterer und Kulturkämpfer, der mit seinen Unternehmen schon bald von noch mehr Staatsaufträgen profitieren könnte. Was unterscheidet ihn dann noch von einem Oligarchen, fragen wir uns.",,rss
Die Krise von Northvolt ist ein Armutszeugnis,"<div><img src=""https://www.faz.net/faz-share-logo.jpg"" style=""width: 100%;"" /><div>In Europa zerschlägt sich eine Batteriehoffnung nach der nächsten. Die neue Bundesregierung muss für bessere Standortbedingungen sorgen.</div></div>",https://www.faz.net/aktuell/wirtschaft/unternehmen/die-krise-von-northvolt-ist-ein-armutszeugnis-110128793.html,,2024-11-22 18:11:46,Christian Müßgens,,"Die Batteriezelle ist das sprichwörtliche Herz jedes Elektroautos. Etwa 40 Prozent der Wertschöpfung entfallen auf die Bauteile, die den Strom speichern, der die Elektromotoren und damit die Fahrzeuge antreibt. Sie sind nicht nur technisch, sondern auch strategisch höchst relevant. Die Chinesen haben es lange erkannt, und auch in Europa sollte durchgedrungen sein, dass die eigene Fertigung wichtig ist, um unabhängig von weltpolitischen Krisen zu werden. Wer die Hand auf der Zelle hat, kon­trolliert einen wesentlichen Teil der Lieferkette, mit allem, was für die Industrie davon abhängt.",,rss
Der erste Aral-Ladepark steht in Mönchengladbach,"<div><img src=""https://media1.faz.net/ppmedia/aktuell/2738962894/1.10123981/twitter_teaser_fplus/erste-liga-arals-ladepark-in.jpg"" style=""width: 100%;"" /><div>Große Ladeparks kommen in Mode. Für Pkw und Lkw. Aral hat jetzt eine Station in Mönchengladbach eröffnet, mit 28 Ladepunkten. Milence kümmert sich um die Lkw.</div></div>",https://www.faz.net/aktuell/der-erste-aral-ladepark-steht-in-moenchengladbach-110123982.html,,2024-11-22 18:06:37,Boris Schmidt,,"Ladepark folgt auf Ladepark : Blaupause für die blaue Pause Von Boris Schmidt 22.11.2024, 19:18 Lesezeit: 5 Min. Erste Liga: Arals Ladepark in Mönchengladbach mit 28 Stromzapfstellen. Das Dach besteht aus Solarzellen. Hersteller Große Ladeparks kommen in Mode. Für Pkw und Lkw. Aral hat jetzt eine Station in Mönchengladbach eröffnet, mit 28 Ladepunkten. Milence kümmert sich um die Lkw.",,rss
2025 gibt es Änderungen bei Diesel und Benzin – sie wirken sich auf die Preise aus,"<div><img src=""https://www.wa.de/assets/images/35/820/35820942-zapfsaeule-2Vfe.jpg"" style=""width: 100%;"" /><div>Autofahrer müssen sich 2025 auf höhere Preise für Diesel und Benzin einstellen. Am 1. Januar steigt die CO2-Abgabe.</div></div>",https://www.wa.de/verbraucher/co2-abgabe-preise-benzin-diesel-tanken-2025-teurer-erhoehung-kosten-steigen-93426445.html,,2024-11-22 17:26:00,Von:,,"Änderungen bei Benzin und Diesel 2025 – sie wirken sich auf die Preise aus Von: Simon Stock Drucken Teilen Autofahrer müssen sich ab 2025 auf höhere Preise für Benzin und Diesel einstellen. Am 1. Januar steigt die CO2-Abgabe. Hamm – Am 1. Januar beginnt das Jahr 2025 – und mit ihm treten traditionell viele neue Gesetze und Regelungen in Kraft. Eine davon hat große Auswirkungen auf den Geldbeutel von Millionen Bürgerinnen und Bürgern in Deutschland. Autofahrer müssen mit höheren Preisen an der Tankstelle rechnen. 2025 gibt es Änderungen bei Benzin und Diesel – sie wirken sich auf die Preise aus Seit 2021 wird eine CO 2 -Steuer erhoben. Diese zusätzliche Abgabe auf Kraftstoffe wie Benzin, Diesel und Erdgas sollte die Nutzung fossiler Energien Schritt für Schritt teurer machen und auf diese Weise den Umstieg auf nachhaltige Alternativen fördern. Die Logik dahinter: Je teurer Benzin oder Diesel, desto eher lohnt sich der Wechsel zum E-Auto. Autofahrer müssen sich 2025 auf höhere Preise für Benzin und Diesel einstellen. Am 1. Januar steigt die CO2-Abgabe. © Jonas Walzberg/dpa Zum 1. Januar 2025 wird nun – wie von langer Hand beschlossen – erneut an der Preisschraube gedreht. Die CO 2 -Abgabe wird dann von aktuell 45 auf dann 55 Euro pro Tonne ausgestoßenem Kohlendioxid steigen. Das werden Fahrerinnen und Fahrer von Verbrenner-Autos an der Zapfsäule zu spüren bekommen. Nach einer Rechnung des ADAC wird durch die Erhöhung der CO 2 -Abgabe der Preis für einen Liter Benzin oder Diesel jeweils um etwa 3 Cent steigen. So wirkt sich die steigende CO2-Abgabe auf den Spritpreis aus* Jahr Preis CO2/Tonne Preisanstieg/Liter Benzin Preisanstieg/Liter Diesel 2021 25 Euro ca. 7 Cent ca. 8 Cent 2022 30 Euro ca. 8,4 Cent ca. 9,5 Cent 2023 30 Euro ca. 8,4 Cent ca. 9,5 Cent 2024 45 Euro ca. 12,7 Cent ca. 14,2 Cent 2025 55 Euro ca. 15,7 Cent ca. 17,3 Cent 2026 55 bis 65 Euro ca. 16,9 Cent ca. 18,9 Cent 2027 Freie Preisbildung im Emissionshandel * Quelle: ADAC. Der Preisanstieg für Benzin und Diesel bezieht sich auf das Basisjahr 2020. Die Autobild spricht sogar von einer möglichen Preiserhöhung für einen Liter Benzin von 4,3 Cent und für einen Liter Diesel von 4,7 Cent. Erhöhung der CO 2 -Abgabe: 2026 geht es weiter Nach Berechnungen des ADAC ist Benzin im Jahr 2025 nur wegen des CO 2 -Preises um etwa 15,7 Cent teurer als vor der Einführung dieser Abgabe. Bei Diesel sind es etwa 17,3 Cent. Zuzüglich Mehrwertsteuer. Die Erhöhung des CO 2 -Preises zum 1. Januar 2025 ist nicht die letzte. Mit Beginn des Jahres 2026 steigt die Abgabe für eine Tonne Kohlendioxid innerhalb eines Korridors von 55 bis 65 Euro liegen. Ab 2027 soll sich die Höhe der Abgabe aus dem Verkauf von Emissionszertifikaten an der Börse ergeben. Werkstätten verlangen viel Geld für den Wechsel der Notruf-Batterie. Laut ADAC ist von einer unfassbaren Gewinnspanne von 400 Prozent die Rede.",,rss
